Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
12.000060.0890,8x6 Rectangular - Bare,LF,2.92,1.1,,75,6.98,HR,0,0,1,HR,0
12.000060.0900,8x24 Rectangular - Bare,LF,6.45,1.16,,75,5.9,HR,0,0,1,HR,0
12.000060.0910,"8x26 Rectangular - 2"" Insulation",LF,8.78,1.16,,75,4.81,HR,0,0,1,HR,0
12.000060.0920,"8x26 Rectangular - 1"" Lined",LF,10.62,1.16,,75,4.4,HR,0,0,1,HR,0
12.000060.0930,8x26 Rectangular - Mastic,LF,15.36,1.16,,75,2.52,HR,0,0,1,HR,0
12.000060.0940,8x26 Rectangular - Bare,LF,6.86,1.16,,75,5.87,HR,0,0,1,HR,0
12.000060.0950,"8x28 Rectangular - 2"" Insulation",LF,9.29,1.16,,75,4.34,HR,0,0,1,HR,0
12.000060.0960,"8x28 Rectangular - 1"" Lined",LF,11.04,1.16,,75,3.99,HR,0,0,1,HR,0
12.000060.0970,8x28 Rectangular - Mastic,LF,16.26,1.16,,75,2.32,HR,0,0,1,HR,0
12.000060.0980,8x28 Rectangular - Bare,LF,7.26,1.16,,75,5.25,HR,0,0,1,HR,0
12.000060.0990,"8x30 Rectangular - 2"" Insulation",LF,9.68,1.66,,75,4.27,HR,0,0,1,HR,0
12.000060.1000,"8x8 Rectangular - 2"" Insulation",LF,4.24,1.1,,75,6.19,HR,0,0,1,HR,0
12.000060.1010,"8x30 Rectangular - 1"" Lined",LF,11.59,1.66,,75,3.92,HR,0,0,1,HR,0
12.000060.1020,8x30 Rectangular - Mastic,LF,17.04,1.66,,75,2.24,HR,0,0,1,HR,0
12.000060.1030,8x30 Rectangular - Bare,LF,7.54,1.66,,75,0.19,HR,0,0,1,HR,0
12.000060.1040,"8x32 Rectangular - 2"" Insulation",LF,10.19,1.66,,75,4.21,HR,0,0,1,HR,0
12.000060.1050,"8x32 Rectangular - 1"" Lined",LF,12.15,1.66,,75,3.86,HR,0,0,1,HR,0
12.000060.1060,8x32 Rectangular - Mastic,LF,17.93,1.66,,75,2.18,HR,0,0,1,HR,0
12.000060.1070,8x32 Rectangular - Bare,LF,7.93,1.66,,75,5.19,HR,0,0,1,HR,0
12.000060.1080,"8x8 Rectangular - 1"" Lined",LF,5.72,1.1,,75,5.87,HR,0,0,1,HR,0
12.000060.1090,8x8 Rectangular - Mastic,LF,7.33,1.1,,75,3.99,HR,0,0,1,HR,0
12.000060.1100,8x8 Rectangular - Bare,LF,3.33,1.1,,75,6.94,HR,0,0,1,HR,0
12.000060.1110,"8x10 Rectangular - 2"" Insulation",LF,4.77,1.1,,75,6.04,HR,0,0,1,HR,0
"12.000080 10"" Rectangular Duct",,,,,,,,,,,,,
12.000080.0009,"10x4 Rectangular - 2"" Insulation",LF,4.04,1.1,,75,8.22,HR,0,0,1,HR,0
12.000080.0010,"10x6 Rectangular - 2"" Insulation",LF,4.24,1.1,,75,6.19,HR,0,0,1,HR,0
12.000080.0020,"10x6 Rectangular - 1"" Lined",LF,5.72,1.1,,75,5.87,HR,0,0,1,HR,0
12.000080.0030,10x6 Rectangular - Mastic,LF,7.33,1.1,,75,3.99,HR,0,0,1,HR,0
12.000080.0040,10x6 Rectangular - Bare,LF,3.33,1.1,,75,6.94,HR,0,0,1,HR,0
12.000080.0050,"10x8 Rectangular - 2"" Insulation",LF,4.77,1.1,,75,6.04,HR,0,0,1,HR,0
12.000080.0060,"10x8 Rectangular - 1"" Lined",LF,6.29,1.1,,75,5.68,HR,0,0,1,HR,0
12.000080.0070,10x8 Rectangular - Mastic,LF,11.83,1.1,,75,3.77,HR,0,0,1,HR,0
12.000080.0080,10x8 Rectangular - Bare,LF,3.75,1.1,,75,6.87,HR,0,0,1,HR,0
12.000080.0090,"10x10 Rectangular - 2"" Insulation",LF,5.3,1.1,,75,5.9,HR,0,0,1,HR,0
